# energy/N    magnetization    seed 
-0.506    0.0408    1692387708.2215328 
-0.546    0.028    1692387708.2274964 
-0.4808    -0.0448    1692387708.2331164 
-0.562    -0.0024    1692387708.2388258 
-0.4852    0.0184    1692387708.244398 
-0.5584    -0.0112    1692387708.2500467 
-0.5052    0.0008    1692387708.255701 
-0.4556    -0.0072    1692387708.2612622 
-0.5116    0.0072    1692387708.2669013 
-0.484    0.016    1692387708.2725804 
-0.5096    0.0192    1692387708.2781222 
-0.5124    0.0056    1692387708.2837927 
-0.5132    -0.028    1692387708.2894003 
-0.4924    -0.0232    1692387708.294982 
-0.5112    -0.016    1692387708.3006036 
-0.4912    -0.024    1692387708.3062623 
-0.5364    0.012    1692387708.3118424 
-0.496    0.0208    1692387708.3175108 
-0.4928    0.0016    1692387708.323121 
-0.58    -0.0128    1692387708.3286493 
-0.4452    -0.0152    1692387708.3343272 
-0.536    -0.0048    1692387708.3399289 
-0.4908    -0.0088    1692387708.3454604 
-0.49    0.0088    1692387708.3511198 
-0.4624    0.0144    1692387708.3567524 
-0.5632    -0.0112    1692387708.3622966 
-0.4944    -0.024    1692387708.367952 
-0.4856    0.0032    1692387708.3736193 
-0.5048    0.0032    1692387708.3792043 
-0.488    0.0144    1692387708.3849094 
-0.4796    -0.0008    1692387708.390472 
-0.4696    -0.0128    1692387708.3960395 
-0.5384    0.0064    1692387708.4019032 
-0.5092    -0.0056    1692387708.4081483 
-0.4944    -0.0208    1692387708.4141963 
-0.44    -0.024    1692387708.420424 
-0.5224    0.0256    1692387708.4265325 
-0.524    0.0032    1692387708.4324243 
-0.5296    -0.0144    1692387708.4381738 
-0.538    -0.0184    1692387708.4437907 
-0.4668    -0.0152    1692387708.4495327 
-0.5068    0.004    1692387708.4553652 
-0.48    0.008    1692387708.4610443 
-0.5884    0.0104    1692387708.4667416 
-0.4392    0.0128    1692387708.4725158 
-0.486    -0.012    1692387708.478111 
-0.4996    -0.0024    1692387708.4838052 
-0.4908    0.0168    1692387708.4895325 
-0.5092    0.0168    1692387708.495265 
-0.5164    0.012    1692387708.5009227 
-0.5436    0.0184    1692387708.5065799 
-0.526    -0.004    1692387708.5125635 
-0.4664    0.0    1692387708.5183225 
-0.528    0.0144    1692387708.5239697 
-0.5232    -0.008    1692387708.5297637 
-0.4608    -0.0112    1692387708.535528 
-0.43    -0.0216    1692387708.541076 
