# mcs  energy  magnetization 
752  -0.8288  -0.0138 
753  -0.8424  0.0224 
754  -0.8104  0.0034 
755  -0.8188  0.0088 
756  -0.8156  0.0336 
757  -0.8124  0.03 
758  -0.8088  0.0394 
759  -0.816  0.063 
760  -0.8148  0.0374 
761  -0.8268  0.005 
762  -0.8284  -0.005 
763  -0.7976  0.0074 
764  -0.7852  -0.012 
765  -0.8192  -0.0272 
766  -0.796  -0.0122 
767  -0.8032  0.0132 
768  -0.79  -0.0232 
769  -0.7904  -0.0324 
770  -0.8196  -0.016 
771  -0.8076  0.01 
772  -0.7884  0.0316 
773  -0.7884  0.0422 
774  -0.7816  0.066 
775  -0.8156  0.0648 
776  -0.8212  0.0586 
777  -0.806  0.0348 
778  -0.8432  0.028 
779  -0.8308  -0.0048 
780  -0.85  0.0148 
781  -0.812  0.0138 
782  -0.8252  0.0194 
783  -0.864  0.0024 
784  -0.8044  -0.0096 
785  -0.8148  0.0064 
786  -0.8468  0.0048 
787  -0.8472  -0.0464 
788  -0.8512  -0.0306 
789  -0.8216  -0.0642 
790  -0.8028  -0.0476 
791  -0.7976  -0.044 
792  -0.8044  -0.0518 
793  -0.834  -0.048 
794  -0.8208  0.0078 
795  -0.8428  -0.0034 
796  -0.834  -0.0032 
797  -0.8512  0.0448 
798  -0.8312  0.0374 
799  -0.7904  0.0026 
800  -0.7832  0.007 
801  -0.7928  -0.0068 
802  -0.7932  0.0046 
803  -0.8288  0.0204 
804  -0.8364  0.039 
805  -0.8192  0.0006 
806  -0.7972  -0.0084 
807  -0.8316  -0.013 
808  -0.8324  0.0002 
809  -0.8036  0.011 
810  -0.7996  -0.0276 
811  -0.8216  0.0436 
812  -0.7896  -0.0244 
813  -0.8108  0.0054 
814  -0.8024  -0.0136 
815  -0.8032  0.007 
816  -0.806  -0.0156 
817  -0.81  -0.0016 
818  -0.8348  0.0182 
819  -0.826  0.0542 
820  -0.7952  0.0388 
821  -0.83  0.0536 
822  -0.848  0.0318 
823  -0.8056  0.0298 
824  -0.7784  0.007 
825  -0.8056  -0.0488 
826  -0.8028  -0.0236 
827  -0.8104  -0.0266 
828  -0.8136  -0.0288 
829  -0.8072  -0.0064 
830  -0.8092  -0.0144 
831  -0.8244  -0.056 
832  -0.8476  -0.028 
833  -0.8396  -0.0162 
834  -0.8448  -0.0324 
835  -0.8444  -0.0192 
836  -0.8368  -0.015 
837  -0.8252  0.0114 
838  -0.7928  0.0052 
839  -0.7692  0.0096 
840  -0.7952  -0.0264 
841  -0.846  -0.0384 
842  -0.8112  -0.0284 
843  -0.838  -0.0372 
844  -0.8408  -0.0906 
845  -0.8488  -0.0698 
846  -0.8324  -0.0226 
847  -0.8164  -0.0086 
848  -0.8156  -0.0288 
849  -0.8252  -0.0094 
850  -0.8504  -0.0324 
851  -0.8576  -0.0542 
852  -0.8168  -0.0156 
853  -0.8156  -0.0334 
854  -0.8192  0.0026 
855  -0.8336  0.0482 
856  -0.7912  0.0364 
857  -0.8028  0.0384 
858  -0.8104  0.0796 
859  -0.7972  0.05 
860  -0.8004  0.0624 
861  -0.7724  0.0246 
862  -0.7756  0.0234 
863  -0.8048  0.011 
864  -0.81  0.0234 
865  -0.8124  0.0658 
866  -0.8216  0.1156 
