# mcs  energy  magnetization 
625  -1.7436  -0.914 
626  -1.7632  -0.9228 
627  -1.744  -0.9144 
628  -1.738  -0.9072 
629  -1.7168  -0.8984 
630  -1.7208  -0.9008 
631  -1.75  -0.9114 
632  -1.726  -0.8992 
633  -1.7168  -0.8906 
634  -1.7032  -0.8742 
635  -1.7264  -0.8952 
636  -1.744  -0.9012 
637  -1.7384  -0.903 
638  -1.736  -0.9032 
639  -1.7344  -0.9084 
640  -1.7492  -0.9096 
641  -1.7524  -0.9154 
642  -1.7376  -0.909 
643  -1.7512  -0.9152 
644  -1.722  -0.8984 
645  -1.7388  -0.9024 
646  -1.724  -0.9046 
647  -1.7428  -0.909 
648  -1.7412  -0.9068 
649  -1.7456  -0.91 
650  -1.7368  -0.9082 
651  -1.7596  -0.9224 
652  -1.7356  -0.9082 
653  -1.744  -0.9156 
654  -1.758  -0.917 
655  -1.7604  -0.9212 
656  -1.7428  -0.916 
657  -1.78  -0.9252 
658  -1.7428  -0.9174 
659  -1.7748  -0.9256 
660  -1.7668  -0.9278 
661  -1.7716  -0.9274 
662  -1.7784  -0.9298 
663  -1.7504  -0.915 
664  -1.7408  -0.9162 
665  -1.7392  -0.9134 
666  -1.7216  -0.9086 
667  -1.7308  -0.9044 
668  -1.718  -0.8966 
669  -1.7172  -0.9022 
670  -1.7396  -0.9126 
671  -1.728  -0.9114 
672  -1.736  -0.911 
673  -1.7428  -0.9086 
674  -1.7388  -0.9064 
675  -1.7632  -0.9194 
676  -1.7544  -0.9146 
677  -1.734  -0.907 
678  -1.7448  -0.9098 
679  -1.7452  -0.9068 
680  -1.6996  -0.888 
681  -1.6924  -0.8872 
682  -1.7212  -0.8934 
683  -1.736  -0.9004 
684  -1.7368  -0.9026 
685  -1.7352  -0.907 
686  -1.7352  -0.9066 
687  -1.7496  -0.9108 
688  -1.7632  -0.912 
689  -1.7536  -0.9062 
690  -1.76  -0.9108 
691  -1.6976  -0.889 
692  -1.7128  -0.8972 
693  -1.7436  -0.907 
694  -1.7288  -0.902 
695  -1.7716  -0.9242 
696  -1.7572  -0.9198 
697  -1.772  -0.926 
698  -1.7264  -0.908 
699  -1.7432  -0.9094 
700  -1.738  -0.9062 
701  -1.704  -0.8928 
702  -1.7088  -0.8886 
703  -1.7244  -0.8964 
704  -1.7248  -0.8992 
